zinc_id,smiles
ZINC000028528140,C[C@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(F)cc21
ZINC000028528237,C[C@@H]1CC(=O)N(C)c2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21
ZINC000028528238,C[C@H]1CC(=O)N(C)c2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21
ZINC000003922292,C[C@@H]1CCCCN1CCc1c(-c2ccccc2)[nH]c2ccccc12
ZINC000003948572,O=C1C[C@H](c2ccccc2)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c2N1
ZINC000013472071,O=S(=O)(c1ccccc1)C1CCN(CCc2ccc(F)cc2F)CC1
ZINC000013976034,O=C1C[C@@H](c2ccccc2)c2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c2N1
ZINC000028525926,CC1(C)CCNc2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21
ZINC000043130446,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(F)cc2F)ccc1OCCN1CCCC1
ZINC000026647083,CCN(C)CCc1c(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[nH]c2ccccc12
ZINC000028889328,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2O)nc1)c1ccccc1F
ZINC000045254361,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCOCC1
ZINC000071329713,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4OCCC5)CC3)nc2N1
ZINC000000009097,C[C@@H](N)Cc1cn(C)c2ccc3c(c12)CCCO3
ZINC000000537877,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
ZINC000000538337,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
ZINC000001493719,Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCO3
ZINC000003964609,C[C@H](N)Cc1c[nH]c2ccc3c(c12)CCCO3
ZINC000013527315,C[C@H](N)Cc1cn(C)c2ccc3c(c12)CCCO3
ZINC000045392240,COc1ccc(NC(=O)Nc2ccc(Cl)cc2Cl)cc1-c1c(Br)cnn1C
ZINC000049053973,NC(=O)c1cccc(S(=O)(=O)c2ccc(/C=C/c3ccc(F)cc3F)cc2)c1
ZINC000028527238,C[C@@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21
ZINC000028527240,C[C@H]1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21
ZINC000045254490,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCOCC1
ZINC000013862744,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccc4ccccc4c3)[nH]c2c1
ZINC000022032760,CN1CCN([C@@H]2Cc3ccccc3Sc3ccc(Cl)cc32)CC1
ZINC000013611470,CN(C)C[C@H]1C[C@@H]2c3ccccc3Sc3ccc(F)cc3[C@H]2O1
ZINC000028523621,CN(C)C[C@H]1C[C@H]2c3ccccc3Sc3ccc(F)cc3[C@H]2O1
ZINC000013109243,COc1c(O)cccc1[C@H](O)C1CCN(CCc2ccc(F)cc2)CC1
ZINC000013472090,O=S(=O)(c1ccc(Cl)cc1)C1CCN(CCc2ccc(F)cc2F)CC1
ZINC000013862747,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(C3CCCCC3)[nH]c2c1
ZINC000029038729,CCC(=O)N[C@@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21
ZINC000029038731,CCC(=O)N[C@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21
ZINC000034565916,COc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1-c1c(Br)cnn1C
ZINC000034642886,COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1-c1c(Br)cnn1C(C)C
ZINC000035950993,COc1ccc(NC(=O)Nc2ccc(F)c(F)c2)cc1-c1c(Cl)cnn1C
ZINC000036409832,COc1ccc(NC(=O)Nc2ccc(F)cc2)cc1-c1c(Br)cnn1C
ZINC000038320584,CCOc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C
ZINC000045253205,Cn1nccc1-c1cc(NC(=O)Nc2cccc(C(F)(F)F)c2)ccc1OCCN1CCCCC1
ZINC000045366826,COc1ccc(NC(=O)Nc2ccc(Br)cc2)cc1-c1c(Br)cnn1C
ZINC000013831236,COc1cc(Br)c(OC)c2c1[C@H](CN)C2
ZINC000026646657,COC[C@@H]1CCCN1CCc1c(-c2ccccc2)[nH]c2ccccc12
ZINC000045287674,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1
ZINC000000968264,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
ZINC000028525924,C[C@@H]1CC(=O)Nc2c(CCN3CCN(c4noc5ccccc45)CC3)cc(F)cc21
ZINC000028525925,C[C@H]1CC(=O)Nc2c(CCN3CCN(c4noc5ccccc45)CC3)cc(F)cc21
ZINC000028526491,CC1(C)CCNc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(F)cc21
ZINC000028527190,Cc1cc(CCN2CCN(c3noc4ccccc34)CC2)c2c(c1)[C@H](C)CC(=O)N2
ZINC000028527192,Cc1cc(CCN2CCN(c3noc4ccccc34)CC2)c2c(c1)[C@@H](C)CC(=O)N2
ZINC000028527976,O=C1CCc2cccc(CCN3CCN(c4nsc5ccccc45)CC3)c2N1
ZINC000028821718,COCc1c2c(c(C[C@@H](C)N)c3c1OCC3)OCC2
ZINC000035801598,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5ccc(F)cc45)CC3)nc2N1
ZINC000035953590,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1
ZINC000045245441,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(F)cc2F)ccc1OCCN1CCCC1
